index,symbol,companyName,listedDate,floor,industryName
210,LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,2020-11-09,HOSE,Ngân hàng
211,LSS,Công ty Cổ phần Mía đường Lam Sơn,2008-01-09,HOSE,Sản xuất thực phẩm
212,MBB,Ngân hàng Thương mại Cổ phần Quân đội ,2011-11-01,HOSE,Ngân hàng
213,MCG,Công ty Cổ phần Năng lượng và Bất Động sản MCG,2009-09-24,HOSE,Xây dựng công trình
214,MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,2006-12-28,HOSE,Bao bì & đóng gói
215,MDG,Công ty Cổ phần Miền Đông,2011-01-12,HOSE,Xây dựng công trình
216,MHC,Công ty Cổ phần MHC,2005-03-21,HOSE,Vận tải biển
217,MIG,Tổng Công ty Cổ phần Bảo Hiểm Quân Đội,2021-01-21,HOSE,Bảo hiểm tài sản & thương vong
218,MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,2020-12-23,HOSE,Ngân hàng
219,MSH,Công ty cổ phần May Sông Hồng,2018-11-28,HOSE,"Đồ may mặc, trang sức, phụ kiện"
220,MSN,Công ty Cổ phần Tập đoàn Ma San,2009-11-05,HOSE,Sản xuất thực phẩm
221,MWG,Công ty Cổ phần đầu tư thế giới di động,2014-07-14,HOSE,Bán lẻ tổng hợp
222,NAF,Công ty Cổ phần Nafoods Group ,2015-10-07,HOSE,Nước ngọt
223,NAV,Công ty Cổ phần Nam Việt ,2006-12-22,HOSE,Vật liệu xây dựng
224,NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,2009-02-18,HOSE,Đầu tư và phát triển bất động sản
225,NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài ,2015-01-08,HOSE,Dịch vụ giao nhận
226,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,2021-01-21,HOSE,Xây dựng công trình
227,NHH,Công ty Cổ phần Nhựa Hà Nội,2019-12-12,HOSE,Hóa chất cơ bản
228,NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,2021-11-10,HOSE,Đồ chơi các loại
229,NKG,Công ty Cổ phần Thép Nam Kim,2011-01-14,HOSE,Thép
230,NLG,Công ty Cổ phần Đầu tư Nam Long,2013-04-08,HOSE,Đầu tư và phát triển bất động sản
231,NNC,Công ty Cổ phần Đá Núi Nhỏ,2010-06-23,HOSE,Vật liệu xây dựng
232,NSC,Công ty Cổ phần Giống cây trồng Trung Ương ,2021-09-06,HOSE,Nông sản và thủy hải sản
233,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 ,2015-06-12,HOSE,Điện
234,NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,2007-12-21,HOSE,Đầu tư và phát triển bất động sản
235,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,2016-12-28,HOSE,Đầu tư và phát triển bất động sản
236,NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,2010-05-07,HOSE,Đầu tư và phát triển bất động sản
237,OCB,Ngân hàng Thương mại Cổ phần Phương Đông,2021-01-28,HOSE,Ngân hàng
